conf,matched_queries,title,citation_count,abstract,categories,concepts,code_url,pdf_url,authors,doi
IJCV2025,,Towards Training-Free Open-World Segmentation via Image Prompt Foundation Models.,-1,,,,,,"Lv Tang,Peng-Tao Jiang,Haoke Xiao,Bo Li",
IJCV2025,,UPR-Net: A Unified Pyramid Recurrent Network for Video Frame Interpolation.,-1,,,,,,"Xin Jin,Longhai Wu,Jie Chen,Youxin Chen,Jayoon Koo,Cheul-Hee Hahm,Zhao-Min Chen",
IJCV2025,,A Comprehensive Survey on Test-Time Adaptation Under Distribution Shifts.,-1,,,,,,"Jian Liang,Ran He,Tieniu Tan",
IJCV2025,,Incremental Model Enhancement via Memory-based Contrastive Learning.,-1,,,,,,"Shiyu Xuan,Ming Yang,Shiliang Zhang",
IJCV2025,,Learning Dynamic Batch-Graph Representation for Deep Representation Learning.,-1,,,,,,"Xixi Wang,Bo Jiang,Xiao Wang,Bin Luo",
IJCV2025,,Continuous Spatial-Spectral Reconstruction via Implicit Neural Representation.,-1,,,,,,"Ruikang Xu,Mingde Yao,Chang Chen,Lizhi Wang,Zhiwei Xiong",
IJCV2025,,Learning Combinatorial Prompts for Universal Controllable Image Captioning.,-1,,,,,,"Zhen Wang,Jun Xiao,Yueting Zhuang,Fei Gao,Jian Shao,Long Chen",
IJCV2025,,FADE: A Task-Agnostic Upsampling Operator for Encoder-Decoder Architectures.,-1,,,,,,"Hao Lu,Wenze Liu,Hongtao Fu,Zhiguo Cao",
IJCV2025,,SRConvNet: A Transformer-Style ConvNet for Lightweight Image Super-Resolution.,-1,,,,,,"Feng Li,Runmin Cong,Jingjing Wu,Huihui Bai,Meng Wang,Yao Zhao",
IJCV2025,,Deep Unrolled Weighted Graph Laplacian Regularization for Depth Completion.,-1,,,,,,"Jin Zeng,Qingpeng Zhu,Tongxuan Tian,Wenxiu Sun,Lin Zhang,Shengjie Zhao",
IJCV2025,,Top-K Pairwise Ranking: Bridging the Gap Among Ranking-Based Measures for Multi-label Classification.,-1,,,,,,"Zitai Wang,Qianqian Xu,Zhiyong Yang,Peisong Wen,Yuan He,Xiaochun Cao,Qingming Huang",
IJCV2025,,ESceme: Vision-and-Language Navigation with Episodic Scene Memory.,-1,,,,,,"Qi Zheng,Daqing Liu,Chaoyue Wang,Jing Zhang,Dadong Wang,Dacheng Tao",
IJCV2025,,Position-Guided Point Cloud Panoptic Segmentation Transformer.,-1,,,,,,"Zeqi Xiao,Wenwei Zhang,Tai Wang,Chen Change Loy,Dahua Lin,Jiangmiao Pang",
IJCV2025,,Learning Rate Curriculum.,-1,,,,,,"Florinel-Alin Croitoru,Nicolae-Catalin Ristea,Radu Tudor Ionescu,Nicu Sebe",
IJCV2025,,Knowledge Distillation Meets Open-Set Semi-supervised Learning.,-1,,,,,,"Jing Yang,Xiatian Zhu,Adrian Bulat,Brais Martínez,Georgios Tzimiropoulos",
IJCV2025,,Kill Two Birds with One Stone: Domain Generalization for Semantic Segmentation via Network Pruning.,-1,,,,,,"Yawei Luo,Ping Liu,Yi Yang",
IJCV2025,,Face3DAdv: Exploiting Robust Adversarial 3D Patches on Physical Face Recognition.,-1,,,,,,"Xiao Yang,Longlong Xu,Tianyu Pang,Yinpeng Dong,Yikai Wang,Hang Su,Jun Zhu",
IJCV2025,,Equiangular Basis Vectors: A Novel Paradigm for Classification Tasks.,-1,,,,,,"Yang Shen,Xuhao Sun,Xiu-Shen Wei,Anqi Xu,Lingyan Gao",
IJCV2025,,Video Instance Segmentation in an Open-World.,-1,,,,,,"Omkar Thawakar,Sanath Narayan,Hisham Cholakkal,Rao Muhammad Anwer,Salman H. Khan,Jorma Laaksonen,Mubarak Shah,Fahad Shahbaz Khan",
IJCV2025,,Bridging the Source-to-Target Gap for Cross-Domain Person Re-identification with Intermediate Domains.,-1,,,,,,"Yongxing Dai,Yifan Sun,Jun Liu,Zekun Tong,Ling-Yu Duan",
IJCV2025,,Compressed Event Sensing (CES) Volumes for Event Cameras.,-1,,,,,,"Songnan Lin,Ye Ma,Jing Chen,Bihan Wen",
IJCV2025,,Winning Prize Comes from Losing Tickets: Improve Invariant Learning by Exploring Variant Parameters for Out-of-Distribution Generalization.,-1,,,,,,"Zhuo Huang,Muyang Li,Li Shen,Jun Yu,Chen Gong,Bo Han,Tongliang Liu",
IJCV2025,,Triplane-Smoothed Video Dehazing with CLIP-Enhanced Generalization.,-1,,,,,,"Jingjing Ren,Haoyu Chen,Tian Ye,Hongtao Wu,Lei Zhu",
IJCV2025,,From Easy to Hard: Learning Curricular Shape-Aware Features for Robust Panoptic Scene Graph Generation.,-1,,,,,,"Hanrong Shi,Lin Li,Jun Xiao,Yueting Zhuang,Long Chen",
IJCV2025,,Correction: Instant3D: Instant Text-to-3D Generation.,-1,,,,,,"Ming Li,Pan Zhou,Jia-Wei Liu,Jussi Keppo,Min Lin,Shuicheng Yan,Xiangyu Xu",
IJCV2025,,Progressive Visual Prompt Learning with Contrastive Feature Re-formation.,-1,,,,,,"Chen Xu,Yuhan Zhu,Haocheng Shen,Boheng Chen,Yixuan Liao,Xiaoxin Chen,Limin Wang",
IJCV2025,,Novel Class Discovery Meets Foundation Models for 3D Semantic Segmentation.,-1,,,,,,"Luigi Riz,Cristiano Saltori,Yiming Wang,Elisa Ricci,Fabio Poiesi",
IJCV2025,,SplitNet: Learnable Clean-Noisy Label Splitting for Learning with Noisy Labels.,-1,,,,,,"Daehwan Kim,Kwangrok Ryoo,Hansang Cho,Seungryong Kim",
IJCV2025,,A Comprehensive Study on Robustness of Image Classification Models: Benchmarking and Rethinking.,-1,,,,,,"Chang Liu,Yinpeng Dong,Wenzhao Xiang,Xiao Yang,Hang Su,Jun Zhu,Yuefeng Chen,Yuan He,Hui Xue,Shibao Zheng",
IJCV2025,,Weighted Joint Distribution Optimal Transport Based Domain Adaptation for Cross-Scenario Face Anti-Spoofing.,-1,,,,,,"Shiyun Mao,Ruolin Chen,Huibin Li",
IJCV2025,,FMGS: Foundation Model Embedded 3D Gaussian Splatting for Holistic 3D Scene Understanding.,-1,,,,,,"Xingxing Zuo,Pouya Samangouei,Yunwen Zhou,Yan Di,Mingyang Li",
IJCV2025,,Rethinking Open-World DeepFake Attribution with Multi-perspective Sensory Learning.,-1,,,,,,"Zhimin Sun,Shen Chen,Taiping Yao,Ran Yi,Shouhong Ding,Lizhuang Ma",
IJCV2025,,Variational Rectification Inference for Learning with Noisy Labels.,-1,,,,,,"Haoliang Sun,Qi Wei,Lei Feng,Yupeng Hu,Fan Liu,Hehe Fan,Yilong Yin",
IJCV2025,,Test-time Forgery Detection with Spatial-Frequency Prompt Learning.,-1,,,,,,"Junxian Duan,Yuang Ai,Jipeng Liu,Shenyuan Huang,Huaibo Huang,Jie Cao,Ran He",
IJCV2025,,Self-supervised Scalable Deep Compressed Sensing.,-1,,,,,,"Bin Chen,Xuanyu Zhang,Shuai Liu,Yongbing Zhang,Jian Zhang",
IJCV2025,,Out-of-Distribution Detection with Virtual Outlier Smoothing.,-1,,,,,,"Jun Nie,Yadan Luo,Shanshan Ye,Yonggang Zhang,Xinmei Tian,Zhen Fang",
IJCV2025,,LLMFormer: Large Language Model for Open-Vocabulary Semantic Segmentation.,-1,,,,,,"Hengcan Shi,Son Duy Dao,Jianfei Cai",
IJCV2025,,Masked Channel Modeling for Bootstrapping Visual Pre-training.,-1,,,,,,"Yang Liu,Xinlong Wang,Muzhi Zhu,Yue Cao,Tiejun Huang,Chunhua Shen",
IJCV2025,,Unsupervised Object Localization in the Era of Self-Supervised ViTs: A Survey.,-1,,,,,,"Oriane Siméoni,Éloi Zablocki,Spyros Gidaris,Gilles Puy,Patrick Pérez",
IJCV2025,,Low-Rank Transformer for High-Resolution Hyperspectral Computational Imaging.,-1,,,,,,"Yuanye Liu,Renwei Dian,Shutao Li",
IJCV2025,,Contextual Object Detection with Multimodal Large Language Models.,-1,,,,,,"Yuhang Zang,Wei Li,Jun Han,Kaiyang Zhou,Chen Change Loy",
IJCV2025,,Source-Free Domain Adaptation Guided by Vision and Vision-Language Pre-training.,-1,,,,,,"Wenyu Zhang,Li Shen,Chuan-Sheng Foo",
IJCV2025,,Toward Accurate and Robust Pedestrian Detection via Variational Inference.,-1,,,,,,"Huanyu He,Weiyao Lin,Yuang Zhang,Tianyao He,Yuxi Li,Jianguo Li",
IJCV2025,,IMC-Det: Intra-Inter Modality Contrastive Learning for Video Object Detection.,-1,,,,,,"Qiang Qi,Zhenyu Qiu,Yan Yan,Yang Lu,Hanzi Wang",
IJCV2025,,R2S100K: Road-Region Segmentation Dataset for Semi-supervised Autonomous Driving in the Wild.,-1,,,,,,"Muhammad Atif Butt,Hassan Ali,Adnan Qayyum,Waqas Sultani,Ala I. Al-Fuqaha,Junaid Qadir",
IJCV2025,,AROID: Improving Adversarial Robustness Through Online Instance-Wise Data Augmentation.,-1,,,,,,"Lin Li,Jianing Qiu,Michael W. Spratling",
IJCV2025,,Learning Box Regression and Mask Segmentation Under Long-Tailed Distribution with Gradient Transfusing.,-1,,,,,,"Tao Wang,Li Yuan,Xinchao Wang,Jiashi Feng",
IJCV2025,,Learning General and Specific Embedding with Transformer for Few-Shot Object Detection.,-1,,,,,,"Xu Zhang,Zhe Chen,Jing Zhang,Tongliang Liu,Dacheng Tao",
IJCV2025,,Guest Editorial: Special Issue on Open-World Visual Recognition.,-1,,,,,,"Zhun Zhong,Hong Liu,Yin Cui,Shin'ichi Satoh,Nicu Sebe,Ming-Hsuan Yang",
IJCV2025,,Correction: Open-Vocabulary Text-Driven Human Image Generation.,-1,,,,,,"Kaiduo Zhang,Muyi Sun,Jianxin Sun,Kunbo Zhang,Zhenan Sun,Tieniu Tan",
IJCV2025,,Lightweight High-Speed Photography Built on Coded Exposure and Implicit Neural Representation of Videos.,-1,,,,,,"Zhihong Zhang,Runzhao Yang,Jinli Suo,Yuxiao Cheng,Qionghai Dai",
